experiment,Test/Cosine_Sim,Test/KL_Div,Test/MSE,Test/Cosine_Sim_Norm,Test/MSE_Norm,Test/KL_Div_Norm,score
exp_adamw_roberta_large_lr1e-05_drop0.3_epochs5_both_frozen,0.8106494843959808,0.339602380990982,0.0225768703967332,0.8106494843959808,0.9774231296032668,0.6603976190090179,2.4484702330082655
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs2_frozen_clip,0.8112417221069336,0.3401404321193694,0.0226348191499709,0.8112417221069336,0.977365180850029,0.6598595678806305,2.448466470837593
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs2_frozen_clip,0.8113789260387421,0.3406684473156929,0.0226026698946952,0.8113789260387421,0.9773973301053048,0.6593315526843071,2.448107808828354
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs2,0.8098303079605103,0.3391982838511467,0.0225552511401474,0.8098303079605103,0.9774447488598526,0.6608017161488533,2.448076772969216
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs2,0.8107946962118149,0.3402371406555176,0.0225579370744526,0.8107946962118149,0.9774420629255474,0.6597628593444824,2.4479996184818447
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs2,0.8096248507499695,0.339090459048748,0.0225565889850258,0.8096248507499695,0.9774434110149742,0.660909540951252,2.4479778027161956
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs2,0.8085314205714634,0.3381356128624507,0.0224937309644051,0.8085314205714634,0.9775062690355948,0.6618643871375492,2.4479020767446076
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs2,0.8111155778169632,0.3406276851892471,0.0226162010803818,0.8111155778169632,0.9773837989196182,0.6593723148107529,2.447871691547334
exp_adamw_roberta_base_lr1e-05_drop0.3_gelu_epochs5_both_frozen,0.8103755861520767,0.3399567902088165,0.0226147458888589,0.8103755861520767,0.9773852541111412,0.6600432097911835,2.447804050054401
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs5_both_frozen,0.8101156949996948,0.3399751782417297,0.0226272144354879,0.8101156949996948,0.977372785564512,0.6600248217582703,2.447513302322477
exp_roberta_large_lr1e-05_drop0.3_epochs5_both_frozen,0.8105920702219009,0.34058478474617,0.0226390892639756,0.8105920702219009,0.9773609107360244,0.65941521525383,2.4473681962117553
exp_adamw_roberta_base_lr1e-05_drop0.5_gelu_epochs2,0.8101625889539719,0.3404189124703407,0.0225917040370404,0.8101625889539719,0.9774082959629596,0.6595810875296593,2.4471519724465907
exp_roberta_large_lr1e-05_drop0.5_epochs5_both_frozen,0.8105217516422272,0.3408338651061058,0.0226610950194298,0.8105217516422272,0.9773389049805702,0.6591661348938942,2.447026791516691
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs2_frozen_clip,0.8101383447647095,0.3405943751335143,0.0226958282291888,0.8101383447647095,0.9773041717708112,0.6594056248664857,2.4468481414020062
exp_roberta_base_lr5e-06_drop0.5_epochs2,0.8103727996349335,0.3410126268863678,0.022605713456869,0.8103727996349335,0.9773942865431308,0.6589873731136322,2.4467544592916965
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8094299286603928,0.3401116728782654,0.0226517221890389,0.8094299286603928,0.977348277810961,0.6598883271217346,2.4466665335930884
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs5_both_frozen,0.8093731105327606,0.3402996212244034,0.0226627704687416,0.8093731105327606,0.9773372295312583,0.6597003787755966,2.4464107188396156
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs5_both_frozen,0.809402123093605,0.3403609693050384,0.0226554917171597,0.809402123093605,0.9773445082828404,0.6596390306949615,2.446385662071407
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_clip,0.8088779002428055,0.3400462791323662,0.022596382535994,0.8088779002428055,0.977403617464006,0.6599537208676338,2.4462352385744452
