experiment,value
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs2,0.7962892651557922
exp_adamw_only_clip_lr1e-05_drop0.3_epochs5_frozen,0.7960573732852936
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs5_both_frozen,0.7957791388034821
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs5_frozen_roberta,0.7955425977706909
exp_adamw_only_clip_lr1e-05_drop0.3_epochs2,0.7954287230968475
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs5_frozen_clip,0.795146107673645
exp_adamw_roberta_large_lr1e-05_drop0.3_gelu_epochs2_frozen_clip,0.7949750125408173
exp_adamw_only_clip_lr1e-05_drop0.5_epochs5_frozen,0.794947475194931
exp_only_clip_lr1e-05_drop0.3_epochs2,0.7948104441165924
exp_roberta_base_lr5e-06_drop0.5_epochs5,0.79474076628685
exp_adamw_roberta_large_lr5e-06_drop0.3_bigger_mlp_epochs2_frozen_clip,0.7947174608707428
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs5_frozen_roberta,0.7946421504020691
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs2_frozen_clip,0.7941053956747055
exp_adamw_roberta_large_lr1e-05_drop0.5_gelu_epochs2_frozen_clip,0.7940727025270462
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_frozen_clip,0.79400634765625
exp_adamw_roberta_base_lr1e-05_drop0.3_bigger_mlp_epochs5_frozen_roberta,0.7931470572948456
exp_roberta_large_lr5e-06_drop0.3_epochs5_frozen_roberta,0.7930962145328522
exp_only_clip_lr5e-06_drop0.3_epochs5_frozen,0.7930743098258972
exp_adamw_roberta_base_lr5e-06_drop0.5_epochs5,0.792915940284729
exp_adamw_roberta_base_lr5e-06_drop0.3_gelu_epochs5_frozen_roberta,0.792899489402771
exp_only_clip_lr1e-05_drop0.3_epochs2_frozen,0.7926120460033417
exp_adamw_roberta_base_lr5e-06_drop0.3_epochs5,0.7925781011581421
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs5_frozen_clip,0.7923610210418701
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5_frozen_roberta,0.792092353105545
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs5_frozen_roberta,0.7919144630432129
exp_roberta_base_lr5e-06_drop0.3_epochs5_frozen_clip,0.7918295860290527
exp_only_clip_lr5e-06_drop0.5_epochs5_frozen,0.7917660176753998
exp_roberta_base_lr1e-05_drop0.5_epochs5_frozen_roberta,0.7914646565914154
exp_adamw_roberta_base_lr1e-05_drop0.5_bigger_mlp_epochs5,0.7913600206375122
exp_adamw_roberta_base_lr1e-05_drop0.5_epochs5,0.7912872731685638
exp_adamw_roberta_large_lr5e-06_drop0.3_epochs5,0.791012316942215
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs5_frozen_clip,0.7908282279968262
exp_adamw_roberta_large_lr5e-06_drop0.3_gelu_epochs5,0.7906073927879333
exp_adamw_roberta_large_lr5e-06_drop0.5_epochs5,0.7905696332454681
exp_adamw_roberta_large_lr5e-05_drop0.5_hierarchical_epochs5_frozen_roberta,0.7905458509922028
exp_adamw_roberta_large_lr5e-05_drop0.3_hierarchical_epochs5_frozen_roberta,0.790195032954216
exp_adamw_roberta_base_lr5e-06_drop0.5_gelu_epochs5,0.7901643514633179
exp_roberta_base_lr1e-05_drop0.3_epochs5_frozen_roberta,0.7900726497173309
exp_adamw_roberta_base_lr5e-06_drop0.3_bigger_mlp_epochs5_frozen_clip,0.7895775139331818
exp_adamw_roberta_large_lr5e-06_drop0.5_gelu_epochs5,0.7895545363426208
exp_adamw_roberta_large_lr5e-06_drop0.5_bigger_mlp_epochs5_frozen_clip,0.7892358601093292
exp_only_clip_lr1e-05_drop0.5_epochs2_frozen,0.7892327010631561
